SubDomain Number,SubDomainName,question,option A,option B,option C,option D,option E,option F,answer,_multanswer,_stateNew,_stateWrong,_stateRight,_stateMastered,_countRight,_countWrong,_LabAssignment,_StudyRef,_AICoaching,_MarkedQuestions,_SubDomainNum,_SubDomainName, ,_OriginalNumber,_ExamNumber,_ExamName,_ImageURL,_Explanation
1.1,CloudTrail & GuardDuty,"A company has a batch-processing system that uses Amazon S3, Amazon EC2, and AWS Key Management Service (AWS KMS). The system uses two AWS accounts: Account A and Account B. Account A hosts an S3 bucket that stores the objects that will be processed. The S3 bucket also stores the results of the processing. All the S3 bucket objects are encrypted by a KMS key that is managed in Account A. Account B hosts a VPC that has a ﬂeet of EC2 instances that access the S3 bucket in Account A by using statements in the bucket policy. The VPC was created with DNS hostnames enabled and DNS resolution enabled. A security engineer needs to update the design of the system without changing any of the system's code. No AWS API calls from the batch- processing EC2 instances can travel over the internet. Which combination of steps will meet these requirements? (Choose two.)","In the Account B VPC, create a gateway VPC endpoint for Amazon S3. For the gateway VPC endpoint, create a resource policy that allows the s3:GetObject, s3:ListBucket, s3:PutObject, and s3:PutObjectAcl actions for the S3 bucket.","In the Account B VPC, create an interface VPC endpoint for Amazon S3. For the interface VPC endpoint, create a resource policy that allows the s3:GetObject, s3:ListBucket, s3:PutObject, and s3:PutObjectAcl actions for the S3 bucket.","In the Account B VPC, create an interface VPC endpoint for AWS KMS. For the interface VPC endpoint, create a resource policy that allows the kms:Encrypt, kms:Decrypt, and kms:GenerateDataKey actions for the KMS key. Ensure that private DNS is turned on for the endpoint.","In the Account B VPC, create an interface VPC endpoint for AWS KMS. For the interface VPC endpoint, create a resource policy that allows the kms:Encrypt, kms:Decrypt, and kms:GenerateDataKey actions for the KMS key. Ensure that private DNS is turned off for the endpoint.","In the Account B VPC, verify that the S3 bucket policy allows the s3:PutObjectAcl action for cross-account use. In the Account B VPC, create a gateway VPC endpoint for Amazon S3. For the gateway VPC endpoint, create a resource policy that allows the s3:GetObject, s3:ListBucket, and s3:PutObject actions for the S3 bucket.",,"A, C",1,1,,,,0,0,,,,,4.2,Cross-Account & Federation,,176,SCS-C02,AWS Certified Security - Specialty,,"A uses an S3 gateway VPC endpoint (the correct endpoint type for S3 data) so all S3 traffic stays on the AWS network, and its endpoint policy explicitly allows the needed S3 actions, including PutObjectAcl, avoiding endpoint-policy filtering issues. C creates a KMS interface VPC endpoint with private DNS so KMS encryption/decryption/data key calls from the EC2 instances stay private and are permitted by the endpoint policy; an S3 interface endpoint is not required for standard S3 access."
1.1,CloudTrail & GuardDuty,"A company’s security engineer wants to receive an email alert whenever Amazon GuardDuty, AWS Identity and Access Management Access Analyzer, or Amazon Macie generate a high-severity security ﬁnding. The company uses AWS Control Tower to govern all of its accounts. The company also uses AWS Security Hub with all of the AWS service integrations turned on. Which solution will meet these requirements with the LEAST operational overhead?","Set up separate AWS Lambda functions for GuardDuty, IAM Access Analyzer, and Macie to call each service's public API to retrieve high- severity ﬁndings. Use Amazon Simple Notiﬁcation Service (Amazon SNS) to send the email alerts. Create an Amazon EventBridge rule to invoke the functions on a schedule.",Create an Amazon EventBridge rule with a pattern that matches Security Hub ﬁndings events with high severity. Conﬁgure the rule to send the ﬁndings to a target Amazon Simple Notiﬁcation Service (Amazon SNS) topic. Subscribe the desired email addresses to the SNS topic.,Create an Amazon EventBridge rule with a pattern that matches AWS Control Tower events with high severity. Conﬁgure the rule to send the ﬁndings to a target Amazon Simple Notiﬁcation Service (Amazon SNS) topic. Subscribe the desired email addresses to the SNS topic.,"Host an application on Amazon EC2 to call the GuardDuty. IAM Access Analyzer, and Macie APIs. Within the application, use the Amazon Simple Notiﬁcation Service (Amazon SNS) API to retrieve high-severity ﬁndings and to send the ﬁndings to an SNS topic. Subscribe the desired email addresses to the SNS topic.",,,B,0,1,,,,0,0,,,,,2.4,Alerting & Remediation,,199,SCS-C02,AWS Certified Security - Specialty,,"Security Hub already aggregates findings from GuardDuty, IAM Access Analyzer, and Macie, so filtering for high-severity findings at the Security Hub event level in EventBridge and routing to SNS requires no custom code. This approach is fully managed, scalable, and minimizes operational overhead compared to building Lambda/EC2 collectors or using Control Tower events, which are not the source of these findings."
1.1,CloudTrail & GuardDuty,A security engineer needs to analyze Apache web server access logs that are stored in an Amazon S3 bucket. Amazon EC2 instance web servers generated the logs. The EC2 instances have the Amazon CloudWatch agent installed and conﬁgured to report their access logs. The security engineer needs to use a query in Amazon Athena to analyze the logs. The query must identify IP addresses that have attempted and failed to access restricted web server content held at the /admin URL path. The query also must identify the URLs that the IP addresses attempted to access. Which query will meet these requirements?,"SELECT client_ip, client_request FROM logs WHERE client_request LIKE '%/admin%!’ AND server_status = '403’",SELECT client_ip FROM logs WHERE client_request CONTAINS '%/admin%’ AND server_status = '401' GROUP BY client_ip,"SELECT DISTINCT (client_ip), client_request, client_id FROM logs WHERE server status = ‘403’ LIMIT 1000","SELECT DISTINCT (client_ip), client_request FROM logs WHERE user_id <> ‘admin’ AND server_status = ‘401!’",,,A,0,1,,,,0,0,,,,,2.3,Monitoring & Detection,,217,SCS-C02,AWS Certified Security - Specialty,,"Option A filters for the /admin path and 403 (Forbidden) responses, which indicate failed attempts to access restricted content. It returns both client_ip and client_request, providing the source IPs and the exact URLs attempted. Other options use the wrong status code, invalid functions, or don’t include the URL."
1.1,CloudTrail & GuardDuty,"A security engineer has designed a VPC to segment private traﬃc from public traﬃc. The VPC includes two Availability Zones. The security engineer has provisioned each Availability Zone with one private subnet and one public subnet. The security engineer has created three route tables for use with the environment. One route table is for the public subnets, and two route tables are for the private subnets (one route table for the private subnet in each Availability Zone). The security engineer discovers that all four subnets are attempting to route traﬃc out through the internet gateway that is attached to the VPC. Which combination of steps should the security engineer take to remediate this scenario? (Choose two.)",Verify that a NAT gateway has been provisioned in the public subnet in each Availability Zone.,Verify that a NAT gateway has been provisioned in the private subnet in each Availability Zone.,Modify the route tables that are associated with each of the public subnets. Create a new route for local destinations to the VPC CIDR range.,Modify the route tables that are associated with each of the private subnets. Create a new route for the destination 0.0.0.0/0. Specify the NAT gateway in the public subnet of the same Availability Zone as the target of the route.,Modify the route tables that are associated with each of the private subnets. Create a new route for the destination 0.0.0.0/0. Specify the internet gateway in the public subnet of the same Availability Zone as the target of the route.,,"A, D",1,1,,,,0,0,,,,,3.1,Network Architecture Security,,234,SCS-C02,AWS Certified Security - Specialty,,"Private subnets should not route directly to the internet gateway; they must send 0.0.0.0/0 traffic to a NAT gateway in a public subnet. A ensures NAT gateways exist in each AZ’s public subnet for high availability, and D updates the private route tables to target the NAT gateway in the same AZ. Options B and E are incorrect because NAT gateways belong in public subnets, and private subnets must not route to the internet gateway."
1.1,CloudTrail & GuardDuty,A company ﬁnds that one of its Amazon EC2 instances suddenly has a high CPU usage. The company does not know whether the EC2 instance is compromised or whether the operating system is performing background cleanup. Which combination of steps should a security engineer take before investigating the issue? (Choose three.),Disable termination protection for the EC2 instance if termination protection has not been disabled.,Enable termination protection for the EC2 instance if termination protection has not been enabled.,Take snapshots of the Amazon Elastic Block Store (Amazon EBS) data volumes that are attached to the EC2 instance.,Remove all snapshots of the Amazon Elastic Block Store (Amazon EBS) data volumes that are attached to the EC2 instance.,"Capture the EC2 instance metadata, and then tag the EC2 instance as under quarantine.",Immediately remove any entries in the EC2 instance metadata that contain sensitive information.,"B, C, E",1,1,,,,0,0,,,,,1.2,Detection & Investigation,,239,SCS-C02,AWS Certified Security - Specialty,,"Enable termination protection (B) to prevent accidental termination and preserve evidence during investigation. Take EBS snapshots (C) to capture immutable, point‑in‑time copies of the disks for forensic analysis. Capture instance metadata and tag the instance as quarantined (E) to preserve context (roles, user data, networking) and signal responders; deleting snapshots or altering metadata would risk destroying evidence."
1.1,CloudTrail & GuardDuty,"A company uses Amazon Elastic Kubernetes Service (Amazon EKS) clusters to run its Kubernetes-based applications. The company uses Amazon GuardDuty to protect the applications. EKS Protection is enabled in GuardDuty. However, the corresponding GuardDuty feature is not monitoring the Kubernetes-based applications. Which solution will cause GuardDuty to monitor the Kubernetes-based applications?",Enable VPC ﬂow logs for the VPC that hosts the EKS clusters.,Assign the CloudWatchEventsFullAccess AWS managed policy to the EKS clusters.,Ensure that the AmazonGuardDutyFullAccess AWS managed policy is attached to the GuardDuty service role.,Enable the control plane logs in Amazon EKS. Ensure that the logs are ingested into Amazon CloudWatch.,,,D,0,1,,,,0,0,,,,,3.4,Container & Serverless Security,,272,SCS-C02,AWS Certified Security - Specialty,,"GuardDuty’s EKS Protection (audit log monitoring) relies on Amazon EKS control plane audit logs being sent to CloudWatch. Without control plane logs, GuardDuty cannot analyze Kubernetes API activity, so enabling and ingesting these logs allows GuardDuty to monitor the Kubernetes-based applications. Other options (VPC flow logs, EventBridge permissions, or GuardDuty service role policy) do not enable EKS audit log visibility."
1.1,CloudTrail & GuardDuty,A security engineer needs to implement a solution to determine whether a company’s Amazon EC2 instances are being used to mine cryptocurrency. The solution must provide notiﬁcations of cryptocurrency-related activity to an Amazon Simple Notiﬁcation Service (Amazon SNS) topic. Which solution will meet these requirements?,Create AWS Conﬁg custom rules by using Guard custom policy. Conﬁgure the AWS Conﬁg rules to detect when an EC2 instance queries a DNS domain name that is associated with cryptocurrency-related activity. Conﬁgure AWS Conﬁg to initiate alerts to the SNS topic.,Enable Amazon GuardDuty. Create an Amazon EventBridge rule to send alerts to the SNS topic when GuardDuty creates a ﬁnding that is associated with cryptocurrency-related activity.,Enable Amazon Inspector. Create an Amazon EventBridge rule to send alerts to the SNS topic when Amazon Inspector creates a ﬁnding that is associated with cryRtocurrency-related activity.,Enable VPC ﬂow logs. Send the ﬂow logs to an Amazon S3 bucket. Set up a query in Amazon Athena to detect when an EC2 instance queries a DNS domain name that is associated with cryptocurrency-related activity. Conﬁgure the Athena query to initiate alerts to the SNS topic.,,,B,0,1,,,,0,0,,,,,2.3,Monitoring & Detection,,289,SCS-C02,AWS Certified Security - Specialty,,"Amazon GuardDuty has built-in threat detections for cryptocurrency mining on EC2 (e.g., suspicious DNS, C2 traffic) and produces findings that can be routed to Amazon SNS via EventBridge. The other options either don’t detect this runtime behavior (AWS Config, Amazon Inspector) or require custom analytics and don’t provide DNS query visibility from VPC Flow Logs."
1.2,Security Hub & Detective,"A company is migrating one of its legacy systems from an on-premises data center to AWS. The application server will run on AWS, but the database must remain in the on-premises data center for compliance reasons. The database is sensitive to network latency. Additionally, the data that travels between the on-premises data center and AWS must have IPsec encryption. Which combination of AWS solutions will meet these requirements? (Choose two.)",AWS Site-to-Site VPN,AWS Direct Connect,AWS VPN CloudHub,VPC peering,NAT gateway,,"A, B",1,1,,,,0,0,,,,,3.1,Network Architecture Security,,5,SCS-C02,AWS Certified Security - Specialty,,"Use AWS Direct Connect to provide a dedicated, low-latency, high-bandwidth connection between the on-premises data center and AWS. Add an AWS Site-to-Site VPN to provide IPsec encryption (which can run over Direct Connect), meeting the encryption requirement; other options (VPC peering, VPN CloudHub, NAT gateway) do not address both latency and encryption for on-prem to AWS connectivity."
1.2,Security Hub & Detective,"A company that uses AWS Organizations is using AWS IAM Identity Center (AWS Single Sign-On) to administer access to AWS accounts. A security engineer is creating a custom permission set in IAM Identity Center. The company will use the permission set across multiple accounts. An AWS managed policy and a customer managed policy are attached to the permission set. The security engineer has full administrative permissions and is operating in the management account. When the security engineer attempts to assign the permission set to an IAM Identity Center user who has access to multiple accounts, the assignment fails. What should the security engineer do to resolve this failure?",Create the customer managed policy in every account where the permission set is assigned. Give the customer managed policy the same name and same permissions in each account.,Remove either the AWS managed policy or the customer managed policy from the permission set. Create a second permission set that includes the removed policy. Apply the permission sets separately to the user.,Evaluate the logic of the AWS managed policy and the customer managed policy. Resolve any policy conﬂicts in the permission set before deployment.,"Do not add the new permission set to the user. Instead, edit the user's existing permission set to include the AWS managed policy and the customer managed policy.",,,A,0,1,,,,0,0,,,,,4.1,Authentication & Authorization,,41,SCS-C02,AWS Certified Security - Specialty,,"IAM customer managed policies are account-scoped and cannot be attached across accounts. When IAM Identity Center provisions the role in target accounts, the referenced customer managed policy must already exist in each target account (same name/path), otherwise the assignment fails. AWS managed policies work globally, but customer managed ones must be created per account."
1.2,Security Hub & Detective,A company is using AWS to run a long-running analysis process on data that is stored in Amazon S3 buckets. The process runs on a ﬂeet of Amazon EC2 instances that are in an Auto Scaling group. The EC2 instances are deployed in a private subnet of a VPC that does not have internet access. The EC2 instances and the S3 buckets are in the same AWS account. The EC2 instances access the S3 buckets through an S3 gateway endpoint that has the default access policy. Each EC2 instance is associated with an instance proﬁle role that has a policy that explicitly allows the s3:GetObject action and the s3:PutObject action for only the required S3 buckets. The company learns that one or more of the EC2 instances are compromised and are exﬁltrating data to an S3 bucket that is outside the company's organization in AWS Organizations. A security engineer must implement a solution to stop this exﬁltration of data and to keep the EC2 processing job functional. Which solution will meet these requirements?,Update the policy on the S3 gateway endpoint to allow the S3 actions only if the values of the aws:ResourceOrgID and aws:PrincipalOrgID condition keys match the company's values.,Update the policy on the instance proﬁle role to allow the S3 actions only if the value of the aws:ResourceOrgID condition key matches the company's value.,Add a network ACL rule to the subnet of the EC2 instances to block outgoing connections on port 443.,Apply an SCP on the AWS account to allow the S3 actions only if the values of the aws:ResourceOrgID and aws:PrincipalOrgID condition keys match the company's values.,,,A,0,1,,,,0,0,,,,,4.1,Authentication & Authorization,,55,SCS-C02,AWS Certified Security - Specialty,,"Because the instances reach S3 only via the VPC gateway endpoint, the endpoint policy is the correct choke point to control which S3 buckets can be accessed. Adding aws:ResourceOrgID and aws:PrincipalOrgID conditions to the endpoint policy restricts access to buckets and principals within the company’s organization, stopping exfiltration to external buckets while preserving needed internal S3 access. The other options either don’t apply effectively (identity policy/SCP) or would break all S3 access (NACL on port 443)."
1.2,Security Hub & Detective,A company stores images for a website in an Amazon S3 bucket. The company is using Amazon CloudFront to serve the images to end users. The company recently discovered that the images are being accessed from countries where the company does not have a distribution license. Which actions should the company take to secure the images to limit their distribution? (Choose two.),Update the S3 bucket policy to restrict access to a CloudFront origin access control (OAC).,Update the website DNS record to use an Amazon Route 53 geolocation record deny list of countries where the company lacks a license.,Add a CloudFront geo restriction deny list of countries where the company lacks a license.,Update the S3 bucket policy with a deny list of countries where the company lacks a license.,Enable the Restrict Viewer Access option in CloudFront to create a deny list of countries where the company lacks a license.,,"A, C",1,1,,,,0,0,,,,,3.2,Edge & Web Protection,,91,SCS-C02,AWS Certified Security - Specialty,,"Use CloudFront geo restriction to deny requests from specific countries at the edge so users in unlicensed regions cannot access the content. Configure S3 access via a CloudFront origin access control (OAC) so objects can only be retrieved through CloudFront, preventing direct S3 URL access that would bypass geo restrictions."
1.2,Security Hub & Detective,A company has AWS accounts that are in an organization in AWS Organizations. An Amazon S3 bucket in one of the accounts is publicly accessible. A security engineer must change the conﬁguration so that the S3 bucket is no longer publicly accessible. The security engineer also must ensure that the S3 bucket cannot be made publicly accessible in the future. Which solution will meet these requirements?,Conﬁgure the S3 bucket to use an AWS Key Management Service (AWS KMS) key. Encrypt all objects in the S3 bucket by creating a bucket policy that enforces encryption. Conﬁgure an SCP to deny the s3:GetObject action for the OU that contains the AWS account.,Enable the PublicAccessBlock conﬁguration on the S3 bucket. Conﬁgure an SCP to deny the s3:GetObject action for the OU that contains the AWS account.,Enable the PublicAccessBlock conﬁguration on the S3 bucket. Conﬁgure an SCP to deny the s3:PutPublicAccessBlock action for the OU that contains the AWS account.,Conﬁgure the S3 bucket to use S3 Object Lock in governance mode. Conﬁgure an SCP to deny the s3:PutPublicAccessBlock action for the OU that contains the AWS account.,,,C,0,1,,,,0,0,,,,,4.1,Authentication & Authorization,,119,SCS-C02,AWS Certified Security - Specialty,,"Enabling S3 Block Public Access on the bucket blocks public ACLs and bucket policies, making the bucket no longer publicly accessible. An SCP that denies s3:PutPublicAccessBlock prevents anyone from changing or disabling that protection, ensuring it cannot be made public in the future. Other options either don’t address public exposure (KMS/Object Lock) or only block reads without preventing public configuration."
